,Unnamed: 0,ID,prediction
58,58,2019 X 7 X C1010 X AS27134,3.6
59,59,2019 X 7 X C1010 X AS27132,2.94
60,60,2019 X 7 X C1010 X AS27000,17.35
61,61,2019 X 7 X C1010 X AS27137,12.26
62,62,2019 X 7 X C1010 X AS27138,0.62
63,63,2019 X 7 X C1010 X AS27133,57.29
64,64,2019 X 8 X C1026 X AS27134,20.1
65,65,2019 X 8 X C1026 X AS27132,10.93
66,66,2019 X 8 X C1026 X AS27000,65.96
67,67,2019 X 8 X C1026 X AS27137,11.31
68,68,2019 X 8 X C1026 X AS27138,8.72
69,69,2019 X 8 X C1026 X AS27133,18.14
70,70,2019 X 8 X C1066 X AS27134,61.39
71,71,2019 X 8 X C1066 X AS27132,50.69
72,72,2019 X 8 X C1066 X AS27000,60.34
73,73,2019 X 8 X C1066 X AS27137,3.51
74,74,2019 X 8 X C1066 X AS27138,15.36
75,75,2019 X 8 X C1066 X AS27133,72.16
76,76,2019 X 8 X C1010 X AS27134,4.39
77,77,2019 X 8 X C1010 X AS27132,5.67
78,78,2019 X 8 X C1010 X AS27000,16.36
79,79,2019 X 8 X C1010 X AS27137,9.748
80,80,2019 X 8 X C1010 X AS27138,4.4
81,81,2019 X 8 X C1010 X AS27133,56.68
82,82,2019 X 8 X C1063 X AS42018,0.0
83,83,2019 X 8 X C1063 X AS21126,0.0
84,84,2019 X 8 X C1063 X AS46000,0.0
85,85,2019 X 8 X C1063 X AS17005,0.0
86,86,2019 X 8 X C1063 X AS27134,6.91
87,87,2019 X 8 X C1063 X AS27132,4.92
88,88,2019 X 8 X C1063 X AS27000,6.16
89,89,2019 X 8 X C1063 X AS27139,0.09
90,90,2019 X 8 X C1063 X AS27137,0.3019047619047619
91,91,2019 X 8 X C1063 X AS27138,1.12
92,92,2019 X 8 X C1063 X AS27133,15.43
93,93,2019 X 8 X C1011 X AS21126,7.94
94,94,2019 X 8 X C1011 X AS46000,0.31
95,95,2019 X 8 X C1011 X AS27134,8.16
96,96,2019 X 8 X C1011 X AS27132,4.6
97,97,2019 X 8 X C1011 X AS27000,9.47
98,98,2019 X 8 X C1011 X AS27139,0.0
99,99,2019 X 8 X C1011 X AS27137,2.6
100,100,2019 X 8 X C1011 X AS27138,27.73
101,101,2019 X 8 X C1011 X AS27133,93.7
102,102,2019 X 9 X C1011 X AS21126,8.07
103,103,2019 X 9 X C1011 X AS46000,0.52
104,104,2019 X 9 X C1011 X AS27134,8.63
105,105,2019 X 9 X C1011 X AS27132,4.04
106,106,2019 X 9 X C1011 X AS27000,13.3
107,107,2019 X 9 X C1011 X AS27139,0.21
108,108,2019 X 9 X C1011 X AS27137,2.91
109,109,2019 X 9 X C1011 X AS27138,25.33
110,110,2019 X 9 X C1011 X AS27133,93.42
111,111,2019 X 9 X C1026 X AS27134,20.34
112,112,2019 X 9 X C1026 X AS27132,10.31
113,113,2019 X 9 X C1026 X AS27000,66.62
114,114,2019 X 9 X C1026 X AS27137,7.41
115,115,2019 X 9 X C1026 X AS27138,11.31
116,116,2019 X 9 X C1026 X AS27133,13.53
117,117,2019 X 9 X C1063 X AS21126,0.0
118,118,2019 X 9 X C1063 X AS42018,0.0
119,119,2019 X 9 X C1063 X AS46000,0.0
120,120,2019 X 9 X C1063 X AS17005,0.0
121,121,2019 X 9 X C1063 X AS27134,4.43
122,122,2019 X 9 X C1063 X AS27132,3.45
123,123,2019 X 9 X C1063 X AS27000,7.44
124,124,2019 X 9 X C1063 X AS27139,0.0
125,125,2019 X 9 X C1063 X AS27137,0.25
126,126,2019 X 9 X C1063 X AS27138,0.95
127,127,2019 X 9 X C1063 X AS27133,25.25
128,128,2019 X 9 X C1066 X AS27134,63.41
129,129,2019 X 9 X C1066 X AS27132,50.83
130,130,2019 X 9 X C1066 X AS27000,61.7
131,131,2019 X 9 X C1066 X AS27137,4.71
132,132,2019 X 9 X C1066 X AS27138,21.8
133,133,2019 X 9 X C1066 X AS27133,92.29
134,134,2019 X 9 X C1010 X AS27134,6.55
135,135,2019 X 9 X C1010 X AS27132,5.88
136,136,2019 X 9 X C1010 X AS27000,14.04
137,137,2019 X 9 X C1010 X AS27137,10.94
138,138,2019 X 9 X C1010 X AS27138,3.65
139,139,2019 X 9 X C1010 X AS27133,52.24
140,140,2019 X 7 X C1008 X AS42018,0.0
141,141,2019 X 7 X C1008 X AS21126,0.0
142,142,2019 X 7 X C1008 X AS27134,8.09
143,143,2019 X 7 X C1008 X AS27132,0.0
144,144,2019 X 7 X C1008 X AS27000,19.89
145,145,2019 X 7 X C1008 X AS27137,10.87
146,146,2019 X 7 X C1008 X AS27138,10.64
147,147,2019 X 7 X C1008 X AS27133,15.93
148,148,2019 X 8 X C1008 X AS27134,14.29
149,149,2019 X 8 X C1008 X AS27000,21.3
150,150,2019 X 8 X C1008 X AS27137,10.41
151,151,2019 X 8 X C1008 X AS27138,11.19
152,152,2019 X 8 X C1008 X AS27133,23.33
153,153,2019 X 9 X C1008 X AS27134,14.1
154,154,2019 X 9 X C1008 X AS27000,20.89
155,155,2019 X 9 X C1008 X AS27137,8.29
156,156,2019 X 9 X C1008 X AS27138,14.75
157,157,2019 X 9 X C1008 X AS27133,41.81
158,158,2019 X 7 X C1679 X AS46000,15.47
159,159,2019 X 7 X C1679 X AS27134,5.49
160,160,2019 X 7 X C1679 X AS27000,1.0
161,161,2019 X 7 X C1679 X AS27139,0.0
162,162,2019 X 7 X C1679 X AS27138,0.0
163,163,2019 X 7 X C1679 X AS27133,15.69
164,164,2019 X 7 X C1082 X AS21126,0.09
165,165,2019 X 7 X C1082 X AS27134,35.94
166,166,2019 X 7 X C1082 X AS27132,2.62
167,167,2019 X 7 X C1082 X AS27000,25.52
168,168,2019 X 7 X C1082 X AS27137,6.04
169,169,2019 X 7 X C1082 X AS27138,3.13
170,170,2019 X 7 X C1082 X AS27133,52.06
171,171,2019 X 8 X C1082 X AS21126,10.19
172,172,2019 X 8 X C1082 X AS27134,40.15
173,173,2019 X 8 X C1082 X AS27132,4.67
174,174,2019 X 8 X C1082 X AS27000,24.8
175,175,2019 X 8 X C1082 X AS27137,5.62
176,176,2019 X 8 X C1082 X AS27138,5.76
177,177,2019 X 8 X C1082 X AS27133,58.78
178,178,2019 X 8 X C1679 X AS46000,30.75
179,179,2019 X 8 X C1679 X AS27134,6.74
180,180,2019 X 8 X C1679 X AS27000,1.93
181,181,2019 X 8 X C1679 X AS27139,0.02
182,182,2019 X 8 X C1679 X AS27138,0.0
183,183,2019 X 8 X C1679 X AS27133,15.0
184,184,2019 X 9 X C1082 X AS21126,11.55
185,185,2019 X 9 X C1082 X AS27134,50.73
186,186,2019 X 9 X C1082 X AS27132,4.3
187,187,2019 X 9 X C1082 X AS27000,22.87
188,188,2019 X 9 X C1082 X AS27137,7.12
189,189,2019 X 9 X C1082 X AS27138,5.27
190,190,2019 X 9 X C1082 X AS27133,51.35
191,191,2019 X 9 X C1679 X AS46000,32.09
192,192,2019 X 9 X C1679 X AS27000,2.53
193,193,2019 X 9 X C1679 X AS27139,0.7366666666666667
194,194,2019 X 9 X C1679 X AS27138,0.0
195,195,2019 X 9 X C1679 X AS27133,16.24
196,196,2019 X 7 X C1106 X AS21126,0.6
197,197,2019 X 7 X C1106 X AS27134,19.14
198,198,2019 X 7 X C1106 X AS27132,1.59
199,199,2019 X 7 X C1106 X AS27000,8.02
200,200,2019 X 7 X C1106 X AS27138,0.0
201,201,2019 X 7 X C1106 X AS27133,0.01
202,202,2019 X 7 X C1681 X AS21126,0.0
203,203,2019 X 7 X C1681 X AS17005,0.0
204,204,2019 X 7 X C1681 X AS27134,62.71
205,205,2019 X 7 X C1681 X AS27132,3.37
206,206,2019 X 7 X C1681 X AS27000,18.58
207,207,2019 X 7 X C1681 X AS27137,0.57
208,208,2019 X 7 X C1681 X AS27138,66.21
209,209,2019 X 7 X C1681 X AS27133,88.01
210,210,2019 X 7 X C1062 X AS21126,0.0
211,211,2019 X 7 X C1062 X AS27134,38.93
212,212,2019 X 7 X C1062 X AS27132,3.23
213,213,2019 X 7 X C1062 X AS27000,143.03
214,214,2019 X 7 X C1062 X AS27139,0.0
215,215,2019 X 7 X C1062 X AS27137,12.67
216,216,2019 X 7 X C1062 X AS27138,8.88
217,217,2019 X 7 X C1062 X AS27133,18.24
218,218,2019 X 7 X C1034 X AS27134,15.19
219,219,2019 X 7 X C1034 X AS27132,7.82
220,220,2019 X 7 X C1034 X AS27000,41.0
221,221,2019 X 7 X C1034 X AS27138,10.64
222,222,2019 X 7 X C1034 X AS27133,46.55
223,223,2019 X 7 X C1413 X AS21126,0.0
224,224,2019 X 7 X C1413 X AS27134,4.98
225,225,2019 X 7 X C1413 X AS27132,6.89
226,226,2019 X 7 X C1413 X AS27000,24.24
227,227,2019 X 7 X C1413 X AS27138,7.28
228,228,2019 X 7 X C1413 X AS27133,23.73
229,229,2019 X 7 X C1054 X AS21126,0.0
230,230,2019 X 7 X C1054 X AS27134,5.64
231,231,2019 X 7 X C1054 X AS27132,0.2
232,232,2019 X 7 X C1054 X AS27000,66.61
233,233,2019 X 7 X C1054 X AS27137,14.01
234,234,2019 X 7 X C1054 X AS27138,41.24
235,235,2019 X 7 X C1054 X AS27133,10.76
236,236,2019 X 7 X C1014 X AS42018,0.0
237,237,2019 X 7 X C1014 X AS21126,0.0
238,238,2019 X 7 X C1014 X AS46000,0.0
239,239,2019 X 7 X C1014 X AS17005,0.31
240,240,2019 X 7 X C1014 X AS27134,0.0
241,241,2019 X 7 X C1014 X AS27132,0.12
242,242,2019 X 7 X C1014 X AS27000,0.71
243,243,2019 X 7 X C1014 X AS27139,0.0
244,244,2019 X 7 X C1014 X AS27137,3.95
245,245,2019 X 7 X C1014 X AS27138,3.21
246,246,2019 X 7 X C1014 X AS27133,2.08
247,247,2019 X 7 X C1059 X AS21126,0.0
248,248,2019 X 7 X C1059 X AS27134,23.2
249,249,2019 X 7 X C1059 X AS27132,12.84
250,250,2019 X 7 X C1059 X AS27000,93.96
251,251,2019 X 7 X C1059 X AS27137,7.84
252,252,2019 X 7 X C1059 X AS27138,9.39
253,253,2019 X 7 X C1059 X AS27133,57.56
254,254,2019 X 7 X C1051 X AS21126,0.0
255,255,2019 X 7 X C1051 X AS27134,11.18
256,256,2019 X 7 X C1051 X AS27132,2.15
257,257,2019 X 7 X C1051 X AS27000,36.43
258,258,2019 X 7 X C1051 X AS27137,0.39
259,259,2019 X 7 X C1051 X AS27138,5.03
260,260,2019 X 7 X C1051 X AS27133,20.82
261,261,2019 X 8 X C1413 X AS21126,0.0
262,262,2019 X 8 X C1413 X AS27134,15.56
263,263,2019 X 8 X C1413 X AS27132,11.72
264,264,2019 X 8 X C1413 X AS27000,58.0
265,265,2019 X 8 X C1413 X AS27138,6.81
266,266,2019 X 8 X C1413 X AS27133,24.9
267,267,2019 X 8 X C1054 X AS21126,0.0
268,268,2019 X 8 X C1054 X AS27134,18.94
269,269,2019 X 8 X C1054 X AS27132,2.76
270,270,2019 X 8 X C1054 X AS27000,57.44
271,271,2019 X 8 X C1054 X AS27137,15.16
272,272,2019 X 8 X C1054 X AS27138,50.21
273,273,2019 X 8 X C1054 X AS27133,11.31
274,274,2019 X 8 X C1014 X AS42018,0.0
275,275,2019 X 8 X C1014 X AS21126,0.6566666666666667
276,276,2019 X 8 X C1014 X AS46000,2.5
277,277,2019 X 8 X C1014 X AS17005,1.5696666666666668
278,278,2019 X 8 X C1014 X AS27134,8.17
279,279,2019 X 8 X C1014 X AS27132,0.8133333333333332
280,280,2019 X 8 X C1014 X AS27000,1.83
281,281,2019 X 8 X C1014 X AS27139,0.0
282,282,2019 X 8 X C1014 X AS27137,3.42
283,283,2019 X 8 X C1014 X AS27138,2.4
284,284,2019 X 8 X C1014 X AS27133,1.37
285,285,2019 X 8 X C1059 X AS21126,0.0
286,286,2019 X 8 X C1059 X AS27134,20.68
287,287,2019 X 8 X C1059 X AS27132,15.49
288,288,2019 X 8 X C1059 X AS27000,74.61
289,289,2019 X 8 X C1059 X AS27137,14.94
290,290,2019 X 8 X C1059 X AS27138,10.85
291,291,2019 X 8 X C1059 X AS27133,81.99
292,292,2019 X 8 X C1051 X AS21126,0.0
293,293,2019 X 8 X C1051 X AS27134,17.72
294,294,2019 X 8 X C1051 X AS27132,4.68
295,295,2019 X 8 X C1051 X AS27000,34.84
296,296,2019 X 8 X C1051 X AS27137,2.02
297,297,2019 X 8 X C1051 X AS27138,11.24
298,298,2019 X 8 X C1051 X AS27133,25.25
299,299,2019 X 8 X C1034 X AS27134,18.75
300,300,2019 X 8 X C1034 X AS27132,7.92
301,301,2019 X 8 X C1034 X AS27000,34.85583333333334
302,302,2019 X 8 X C1034 X AS27138,13.2
303,303,2019 X 8 X C1034 X AS27133,47.77
304,304,2019 X 8 X C1681 X AS21126,0.0
305,305,2019 X 8 X C1681 X AS17005,1.4002142857142856
306,306,2019 X 8 X C1681 X AS27134,50.86
307,307,2019 X 8 X C1681 X AS27132,6.05
308,308,2019 X 8 X C1681 X AS27000,22.53
309,309,2019 X 8 X C1681 X AS27137,2.48
310,310,2019 X 8 X C1681 X AS27138,39.3
311,311,2019 X 8 X C1681 X AS27133,130.11
312,312,2019 X 8 X C1106 X AS21126,3.62
313,313,2019 X 8 X C1106 X AS27134,17.54
314,314,2019 X 8 X C1106 X AS27132,1.06
315,315,2019 X 8 X C1106 X AS27000,7.4
316,316,2019 X 8 X C1106 X AS27138,1.36
317,317,2019 X 8 X C1106 X AS27133,0.04
318,318,2019 X 8 X C1062 X AS21126,0.0
319,319,2019 X 8 X C1062 X AS27134,43.96
320,320,2019 X 8 X C1062 X AS27132,11.99
321,321,2019 X 8 X C1062 X AS27000,152.375
322,322,2019 X 8 X C1062 X AS27139,0.0
323,323,2019 X 8 X C1062 X AS27137,9.18
324,324,2019 X 8 X C1062 X AS27138,14.44
325,325,2019 X 8 X C1062 X AS27133,23.545
326,326,2019 X 9 X C1413 X AS21126,0.0
327,327,2019 X 9 X C1413 X AS27134,25.69
328,328,2019 X 9 X C1413 X AS27132,11.3
329,329,2019 X 9 X C1413 X AS27000,57.39
330,330,2019 X 9 X C1413 X AS27138,10.3
331,331,2019 X 9 X C1413 X AS27133,26.17
332,332,2019 X 9 X C1014 X AS42018,0.0
333,333,2019 X 9 X C1014 X AS21126,2.73
334,334,2019 X 9 X C1014 X AS46000,13.45
335,335,2019 X 9 X C1014 X AS17005,1.39
336,336,2019 X 9 X C1014 X AS27134,15.36
337,337,2019 X 9 X C1014 X AS27132,2.03
338,338,2019 X 9 X C1014 X AS27000,2.04
339,339,2019 X 9 X C1014 X AS27139,0.0
340,340,2019 X 9 X C1014 X AS27137,3.28
341,341,2019 X 9 X C1014 X AS27138,3.18
342,342,2019 X 9 X C1014 X AS27133,12.04
343,343,2019 X 9 X C1059 X AS27134,27.22
344,344,2019 X 9 X C1059 X AS27132,11.78
345,345,2019 X 9 X C1059 X AS27000,103.97
346,346,2019 X 9 X C1059 X AS27137,15.31
347,347,2019 X 9 X C1059 X AS27138,10.69
348,348,2019 X 9 X C1059 X AS27133,83.23
349,349,2019 X 9 X C1051 X AS27134,19.83
350,350,2019 X 9 X C1051 X AS27132,4.52
351,351,2019 X 9 X C1051 X AS27000,34.2
352,352,2019 X 9 X C1051 X AS27137,2.41
353,353,2019 X 9 X C1051 X AS27138,13.32
354,354,2019 X 9 X C1051 X AS27133,29.56
355,355,2019 X 9 X C1106 X AS21126,3.27
356,356,2019 X 9 X C1106 X AS27134,17.51
357,357,2019 X 9 X C1106 X AS27132,1.48
358,358,2019 X 9 X C1106 X AS27000,8.92
359,359,2019 X 9 X C1106 X AS27138,1.27
360,360,2019 X 9 X C1106 X AS27133,7.82
361,361,2019 X 9 X C1681 X AS21126,0.0
362,362,2019 X 9 X C1681 X AS17005,0.7
363,363,2019 X 9 X C1681 X AS27134,50.18
364,364,2019 X 9 X C1681 X AS27132,5.24
365,365,2019 X 9 X C1681 X AS27000,20.49
366,366,2019 X 9 X C1681 X AS27137,2.6
367,367,2019 X 9 X C1681 X AS27138,36.62
368,368,2019 X 9 X C1681 X AS27133,95.95
369,369,2019 X 9 X C1062 X AS21126,0.0
370,370,2019 X 9 X C1062 X AS27134,50.72
371,371,2019 X 9 X C1062 X AS27132,15.28
372,372,2019 X 9 X C1062 X AS27000,158.28
373,373,2019 X 9 X C1062 X AS27139,0.0
374,374,2019 X 9 X C1062 X AS27137,12.73
375,375,2019 X 9 X C1062 X AS27138,15.19
376,376,2019 X 9 X C1062 X AS27133,37.79
377,377,2019 X 9 X C1034 X AS27134,24.29
378,378,2019 X 9 X C1034 X AS27132,9.27
379,379,2019 X 9 X C1034 X AS27000,34.75
380,380,2019 X 9 X C1034 X AS27138,13.44
381,381,2019 X 9 X C1034 X AS27133,44.13
382,382,2019 X 9 X C1054 X AS21126,0.0
383,383,2019 X 9 X C1054 X AS27134,18.73
384,384,2019 X 9 X C1054 X AS27132,4.84
385,385,2019 X 9 X C1054 X AS27000,67.02
386,386,2019 X 9 X C1054 X AS27137,14.3
387,387,2019 X 9 X C1054 X AS27138,41.75
388,388,2019 X 9 X C1054 X AS27133,15.37
389,389,2019 X 7 X C4037 X AS21126,0.58
390,390,2019 X 7 X C4037 X AS46000,6.52
391,391,2019 X 7 X C4037 X AS27134,12.99
392,392,2019 X 7 X C4037 X AS27132,7.02
393,393,2019 X 7 X C4037 X AS27000,24.54
394,394,2019 X 7 X C4037 X AS27137,24.1
395,395,2019 X 7 X C4037 X AS27138,15.17
396,396,2019 X 7 X C4037 X AS27133,63.51
397,397,2019 X 8 X C4037 X AS21126,1.84
398,398,2019 X 8 X C4037 X AS46000,35.64
399,399,2019 X 8 X C4037 X AS27134,56.86
400,400,2019 X 8 X C4037 X AS27132,5.61
401,401,2019 X 8 X C4037 X AS27000,39.91
402,402,2019 X 8 X C4037 X AS27137,24.83
403,403,2019 X 8 X C4037 X AS27138,14.19
404,404,2019 X 8 X C4037 X AS27133,69.17
405,405,2019 X 9 X C4037 X AS21126,7.15
406,406,2019 X 9 X C4037 X AS46000,43.23
407,407,2019 X 9 X C4037 X AS27134,55.38
408,408,2019 X 9 X C4037 X AS27132,5.87
409,409,2019 X 9 X C4037 X AS27000,36.94
410,410,2019 X 9 X C4037 X AS27137,23.07
411,411,2019 X 9 X C4037 X AS27138,14.31
412,412,2019 X 9 X C4037 X AS27133,64.78
413,413,2019 X 7 X C1004 X AS27132,1.77
414,414,2019 X 7 X C1004 X AS27000,26.43
415,415,2019 X 7 X C1004 X AS27137,13.27
416,416,2019 X 7 X C1004 X AS27138,12.58
417,417,2019 X 7 X C1004 X AS27133,53.33
418,418,2019 X 8 X C1004 X AS27132,1.95
419,419,2019 X 8 X C1004 X AS27000,23.97
420,420,2019 X 8 X C1004 X AS27137,14.17
421,421,2019 X 8 X C1004 X AS27138,12.68
422,422,2019 X 8 X C1004 X AS27133,49.89
423,423,2019 X 9 X C1004 X AS21126,0.0
424,424,2019 X 9 X C1004 X AS27134,15.78
425,425,2019 X 9 X C1004 X AS27132,1.98
426,426,2019 X 9 X C1004 X AS27000,23.36
427,427,2019 X 9 X C1004 X AS27137,13.02
428,428,2019 X 9 X C1004 X AS27138,13.25
429,429,2019 X 9 X C1004 X AS27133,45.19
430,430,2019 X 7 X C4014 X AS21126,0.0
431,431,2019 X 7 X C4014 X AS27132,2.8
432,432,2019 X 7 X C4014 X AS27000,43.82
433,433,2019 X 7 X C4014 X AS27137,3.32
434,434,2019 X 8 X C4014 X AS21126,0.0
435,435,2019 X 8 X C4014 X AS27132,1.86
436,436,2019 X 8 X C4014 X AS27000,52.8
437,437,2019 X 8 X C4014 X AS27137,17.9
438,438,2019 X 9 X C4014 X AS21126,0.0
439,439,2019 X 9 X C4014 X AS27132,2.27
440,440,2019 X 9 X C4014 X AS27000,50.5
441,441,2019 X 9 X C4014 X AS27137,13.34
442,442,2019 X 7 X C4061 X AS21126,0.61
443,443,2019 X 7 X C4061 X AS27134,0.22
444,444,2019 X 7 X C4061 X AS27132,1.76
445,445,2019 X 7 X C4061 X AS27000,3.68
446,446,2019 X 7 X C4061 X AS27137,4.81
447,447,2019 X 7 X C4061 X AS27138,13.11
448,448,2019 X 7 X C4061 X AS27133,21.41
449,449,2019 X 7 X C4015 X AS27134,13.63
450,450,2019 X 7 X C4015 X AS27132,3.54
451,451,2019 X 7 X C4015 X AS27000,10.59
452,452,2019 X 7 X C4015 X AS27137,6.41
453,453,2019 X 7 X C4015 X AS27138,7.16
454,454,2019 X 7 X C4015 X AS27133,36.28
455,455,2019 X 7 X C4038 X AS42018,0.0
456,456,2019 X 7 X C4038 X AS21126,0.0
457,457,2019 X 7 X C4038 X AS27134,3.86
458,458,2019 X 7 X C4038 X AS27132,2.63
459,459,2019 X 7 X C4038 X AS27000,2.39
460,460,2019 X 7 X C4038 X AS27139,0.1
461,461,2019 X 7 X C4038 X AS27137,4.13
462,462,2019 X 7 X C4038 X AS27138,2.99
463,463,2019 X 7 X C4038 X AS27133,21.33
464,464,2019 X 8 X C4061 X AS21126,3.91
465,465,2019 X 8 X C4061 X AS27134,12.41
466,466,2019 X 8 X C4061 X AS27132,4.34
467,467,2019 X 8 X C4061 X AS27000,3.84
468,468,2019 X 8 X C4061 X AS27137,7.47
469,469,2019 X 8 X C4061 X AS27138,10.95
470,470,2019 X 8 X C4061 X AS27133,20.75
471,471,2019 X 8 X C4015 X AS27134,13.1
472,472,2019 X 8 X C4015 X AS27132,3.47
473,473,2019 X 8 X C4015 X AS27000,11.12
474,474,2019 X 8 X C4015 X AS27137,7.51
475,475,2019 X 8 X C4015 X AS27138,8.4
476,476,2019 X 8 X C4015 X AS27133,25.54
477,477,2019 X 8 X C4038 X AS21126,0.0
478,478,2019 X 8 X C4038 X AS42018,0.0
479,479,2019 X 8 X C4038 X AS27134,7.05
480,480,2019 X 8 X C4038 X AS27132,4.25
481,481,2019 X 8 X C4038 X AS27000,8.78
482,482,2019 X 8 X C4038 X AS27139,0.4
483,483,2019 X 8 X C4038 X AS27137,6.82
484,484,2019 X 8 X C4038 X AS27138,9.0
485,485,2019 X 8 X C4038 X AS27133,26.27
486,486,2019 X 9 X C4061 X AS21126,5.23
487,487,2019 X 9 X C4061 X AS27134,18.11
488,488,2019 X 9 X C4061 X AS27132,5.24
489,489,2019 X 9 X C4061 X AS27000,3.32
490,490,2019 X 9 X C4061 X AS27137,8.0
491,491,2019 X 9 X C4061 X AS27138,11.15
492,492,2019 X 9 X C4061 X AS27133,22.07
493,493,2019 X 9 X C4015 X AS27134,14.74
494,494,2019 X 9 X C4015 X AS27132,3.51
495,495,2019 X 9 X C4015 X AS27000,10.08
496,496,2019 X 9 X C4015 X AS27137,8.16
497,497,2019 X 9 X C4015 X AS27138,7.59
498,498,2019 X 9 X C4015 X AS27133,26.64
499,499,2019 X 9 X C4038 X AS42018,0.0
500,500,2019 X 9 X C4038 X AS21126,0.0
501,501,2019 X 9 X C4038 X AS27134,13.81
502,502,2019 X 9 X C4038 X AS27132,4.37
503,503,2019 X 9 X C4038 X AS27000,9.96
504,504,2019 X 9 X C4038 X AS27139,0.7533333333333333
505,505,2019 X 9 X C4038 X AS27137,8.42
506,506,2019 X 9 X C4038 X AS27138,7.72
507,507,2019 X 9 X C4038 X AS27133,29.16
508,508,2019 X 7 X C1093 X AS46000,1.18
509,509,2019 X 7 X C1093 X AS27000,5.76
510,510,2019 X 7 X C1093 X AS27139,0.0
511,511,2019 X 7 X C1093 X AS27133,22.69
512,512,2019 X 7 X C1083 X AS46000,41.76
513,513,2019 X 7 X C1083 X AS27000,0.93
514,514,2019 X 7 X C1083 X AS27138,3.18
515,515,2019 X 7 X C1083 X AS27133,47.21
516,516,2019 X 8 X C1093 X AS46000,3.35
517,517,2019 X 8 X C1093 X AS27000,7.11
518,518,2019 X 8 X C1093 X AS27139,0.0
519,519,2019 X 8 X C1093 X AS27133,31.43
520,520,2019 X 8 X C1083 X AS46000,37.35
521,521,2019 X 8 X C1083 X AS27000,0.72
522,522,2019 X 8 X C1083 X AS27138,3.59
523,523,2019 X 8 X C1083 X AS27133,48.73
524,524,2019 X 9 X C1083 X AS46000,49.77
525,525,2019 X 9 X C1083 X AS27000,1.21
526,526,2019 X 9 X C1083 X AS27138,2.95
527,527,2019 X 9 X C1083 X AS27133,42.43
528,528,2019 X 9 X C1093 X AS46000,30.07
529,529,2019 X 9 X C1093 X AS27000,8.21
530,530,2019 X 9 X C1093 X AS27139,1.3616666666666668
531,531,2019 X 9 X C1093 X AS27133,30.37
532,532,2019 X 7 X C1084 X AS21126,12.39
533,533,2019 X 7 X C1084 X AS17005,4.1419999999999995
534,534,2019 X 7 X C1084 X AS27134,13.92
